"Variabel","Digital","Stedlig","Totalt","p"
"n","35","35","70",""
"Kvinner, n (%)","24 (69%)","26 (74%)","50 (71%)","0.792"
"Aldersgruppe (WHO), n (%)","","","","0.040"
"  Unge voksne (18–44 år)","2 (6%)","1 (3%)","3 (4%)",""
"  Middelaldrende (45–59 år)","18 (51%)","8 (23%)","26 (37%)",""
"  Eldre voksne (60–74 år)","12 (34%)","18 (51%)","30 (43%)",""
"  Gamle eldre (75+ år)","3 (9%)","8 (23%)","11 (16%)",""
"Kreftform, n (%)","","","","0.487"
"  Annet","1 (3%)","0 (0%)","1 (1%)",""
"  Beinkreft","1 (3%)","1 (3%)","2 (3%)",""
"  Blastrom","1 (3%)","0 (0%)","1 (1%)",""
"  Blodkreft","3 (9%)","0 (0%)","3 (4%)",""
"  Blærekreft","1 (3%)","0 (0%)","1 (1%)",""
"  Brystkreft","12 (34%)","17 (49%)","29 (41%)",""
"  Bukspyttkjertelkreft","0 (0%)","1 (3%)","1 (1%)",""
"  Gynkreft","1 (3%)","3 (9%)","4 (6%)",""
"  Lungekreft","0 (0%)","1 (3%)","1 (1%)",""
"  Lymfekreft","5 (14%)","3 (9%)","8 (11%)",""
"  Mage-tarmkreft","4 (11%)","3 (9%)","7 (10%)",""
"  Melanom","1 (3%)","0 (0%)","1 (1%)",""
"  Munn og svelg","1 (3%)","1 (3%)","2 (3%)",""
"  Nyrekreft","1 (3%)","0 (0%)","1 (1%)",""
"  Prostata","2 (6%)","5 (14%)","7 (10%)",""
"  Testikkelkreft","1 (3%)","0 (0%)","1 (1%)",""
"Behandlingstype, n (%)¹","","","",""
"  Cellegift","23 (66%)","20 (57%)","43 (61%)",""
"  Stråling","16 (46%)","23 (66%)","39 (56%)",""
"  Immunterapi","8 (23%)","2 (6%)","10 (14%)",""
"  Kirurgi","15 (43%)","23 (66%)","38 (54%)",""
"  Stamcellebehandling","2 (6%)","0 (0%)","2 (3%)",""
"  Legemidler","5 (14%)","7 (20%)","12 (17%)",""
"  Annet","1 (3%)","0 (0%)","1 (1%)",""
"Dager siden siste behandling, gj.snitt (SD)","3800.6 (11261.4)","679.4 (644.5)","2265.6 (8129.3)","0.096"
"Antropometri (pre), gj.snitt (SD)","","","",""
"  Kroppsvekt, kg","80.8 (14.1)","77.1 (15.5)","79.0 (14.8)","0.404"
"  Høyde, cm","170.6 (8.7)","171.1 (7.9)","170.8 (8.3)","0.902"
"  BMI, kg/m²","27.8 (4.9)","26.3 (4.8)","27.1 (4.9)","0.143"
"  Midjeomkrets, cm","96.8 (12.8)","89.7 (21.7)","93.3 (18.0)","0.090"
"DXA-målinger (pre), gj.snitt (SD)","","","",""
"  Mager masse (LBM), g","47749 (8047)","47550 (9115)","47633 (8598)","0.844"
"  Total fettmasse, g","29271 (8206)","26817 (9611)","27847 (9043)","0.231"
"  Total fettprosent, %","37.8 (8.2)","35.4 (8.0)","36.4 (8.1)","0.350"
