"Variabel","Digital","Stedlig","Totalt","p"
"n","35","35","70",""
"Kvinner, n (%)","24 (69%)","26 (74%)","50 (71%)","0.792"
"Aldersgruppe (WHO), n (%)","","","","0.042"
"  Unge voksne (18–44 år)","2 (6%)","1 (3%)","3 (4%)",""
"  Middelaldrende (45–59 år)","18 (51%)","8 (23%)","26 (37%)",""
"  Eldre voksne (60–74 år)","12 (34%)","18 (51%)","30 (43%)",""
"  Gamle eldre (75+ år)","3 (9%)","8 (23%)","11 (16%)",""
"Alder, år — median","56","65","63",""
"Kreftform, n (%)","","","","0.509"
"  Annet","1 (3%)","0 (0%)","1 (1%)",""
"  Beinkreft","1 (3%)","1 (3%)","2 (3%)",""
"  Blastrom","1 (3%)","0 (0%)","1 (1%)",""
"  Blodkreft","3 (9%)","0 (0%)","3 (4%)",""
"  Blærekreft","1 (3%)","0 (0%)","1 (1%)",""
"  Brystkreft","12 (34%)","18 (51%)","30 (43%)",""
"  Bukspyttkjertelkreft","0 (0%)","1 (3%)","1 (1%)",""
"  Gynkreft","1 (3%)","3 (9%)","4 (6%)",""
"  Lungekreft","0 (0%)","1 (3%)","1 (1%)",""
"  Lymfekreft","5 (14%)","3 (9%)","8 (11%)",""
"  Mage-tarmkreft","4 (11%)","3 (9%)","7 (10%)",""
"  Melanom","1 (3%)","0 (0%)","1 (1%)",""
"  Munn og svelg","1 (3%)","1 (3%)","2 (3%)",""
"  Nyrekreft","1 (3%)","0 (0%)","1 (1%)",""
"  Prostata","2 (6%)","4 (11%)","6 (9%)",""
"  Testikkelkreft","1 (3%)","0 (0%)","1 (1%)",""
"Behandlingstype, n (%)¹","","","",""
"  Cellegift","23 (66%)","20 (57%)","43 (61%)",""
"  Stråling","16 (46%)","23 (66%)","39 (56%)",""
"  Immunterapi","8 (23%)","2 (6%)","10 (14%)",""
"  Kirurgi","15 (43%)","23 (66%)","38 (54%)",""
"  Stamcellebehandling","2 (6%)","0 (0%)","2 (3%)",""
"  Legemidler","5 (14%)","7 (20%)","12 (17%)",""
"  Annet","1 (3%)","0 (0%)","1 (1%)",""
"Dager siden siste behandling, median (25.–75. persentil)³","588 (348–1546)","488 (172–1110)","556 (194–1394)","0.195"
"Antropometri (pre), gj.snitt (SD)²","","","",""
"  Kroppsvekt, kg","80.8 (14.1)","77.6 (15.6)","79.2 (14.9)","0.505"
"  Høyde, cm","170.6 (8.7)","171.5 (8.2)","171.0 (8.4)","0.761"
"  BMI, kg/m²","27.8 (4.9)","26.3 (4.8)","27.1 (4.8)","0.166"
"  Midjeomkrets, cm","96.8 (12.8)","89.7 (21.7)","93.3 (18.0)","0.090"
